f_spot,tempSpot,f_facula,tempFacula,wavelength,D_lambda
0.000000,nan,nan,nan,864.000000,5838.261216
0.000000,nan,nan,nan,1325.000000,5581.850928
0.000000,nan,nan,nan,1787.000000,5582.582890
0.000000,nan,nan,nan,2248.000000,5508.114512
0.000000,nan,nan,nan,2709.000000,5496.874776
0.010000,2800.000000,nan,nan,864.000000,5864.955566
0.010000,2800.000000,nan,nan,1325.000000,5599.690047
0.010000,2800.000000,nan,nan,1787.000000,5596.947448
0.010000,2800.000000,nan,nan,2248.000000,5520.125555
0.010000,2800.000000,nan,nan,2709.000000,5507.551747
0.010000,2935.000000,nan,nan,864.000000,5854.147373
0.010000,2935.000000,nan,nan,1325.000000,5592.070081
0.010000,2935.000000,nan,nan,1787.000000,5590.676302
0.010000,2935.000000,nan,nan,2248.000000,5514.825182
0.010000,2935.000000,nan,nan,2709.000000,5502.811515
0.010000,3070.000000,nan,nan,864.000000,5841.374630
0.010000,3070.000000,nan,nan,1325.000000,5583.780711
0.010000,3070.000000,nan,nan,1787.000000,5584.087470
0.010000,3070.000000,nan,nan,2248.000000,5509.352296
0.010000,3070.000000,nan,nan,2709.000000,5497.964959
0.080000,2800.000000,nan,nan,864.000000,6058.448826
0.080000,2800.000000,nan,nan,1325.000000,5727.665364
0.080000,2800.000000,nan,nan,1787.000000,5699.478258
0.080000,2800.000000,nan,nan,2248.000000,5605.615146
0.080000,2800.000000,nan,nan,2709.000000,5583.428194
0.080000,2935.000000,nan,nan,864.000000,5967.570453
0.080000,2935.000000,nan,nan,1325.000000,5664.573295
0.080000,2935.000000,nan,nan,1787.000000,5647.922599
0.080000,2935.000000,nan,nan,2248.000000,5562.219167
0.080000,2935.000000,nan,nan,2709.000000,5544.708684
0.080000,3070.000000,nan,nan,864.000000,5863.214883
0.080000,3070.000000,nan,nan,1325.000000,5597.309626
0.080000,3070.000000,nan,nan,1787.000000,5594.629241
0.080000,3070.000000,nan,nan,2248.000000,5518.024661
0.080000,3070.000000,nan,nan,2709.000000,5505.604408
0.150000,2800.000000,nan,nan,864.000000,6247.399161
0.150000,2800.000000,nan,nan,1325.000000,5853.420562
0.150000,2800.000000,nan,nan,1787.000000,5800.557536
0.150000,2800.000000,nan,nan,2248.000000,5690.055804
0.150000,2800.000000,nan,nan,2709.000000,5658.450956
0.150000,2935.000000,nan,nan,864.000000,6079.322964
0.150000,2935.000000,nan,nan,1325.000000,5736.315007
0.150000,2935.000000,nan,nan,1787.000000,5704.669434
0.150000,2935.000000,nan,nan,2248.000000,5609.256469
0.150000,2935.000000,nan,nan,2709.000000,5586.311446
0.150000,3070.000000,nan,nan,864.000000,5884.927268
0.150000,3070.000000,nan,nan,1325.000000,5610.787163
0.150000,3070.000000,nan,nan,1787.000000,5605.134239
0.150000,3070.000000,nan,nan,2248.000000,5526.671269
0.150000,3070.000000,nan,nan,2709.000000,5513.221100
nan,nan,0.010000,3130.000000,864.000000,5835.046276
nan,nan,0.010000,3130.000000,1325.000000,5579.890051
nan,nan,0.010000,3130.000000,1787.000000,5581.064246
nan,nan,0.010000,3130.000000,2248.000000,5506.869286
nan,nan,0.010000,3130.000000,2709.000000,5495.780082
nan,nan,0.010000,3265.000000,864.000000,5819.309091
nan,nan,0.010000,3265.000000,1325.000000,5570.691494
nan,nan,0.010000,3265.000000,1787.000000,5574.063705
nan,nan,0.010000,3265.000000,2248.000000,5501.178367
nan,nan,0.010000,3265.000000,2709.000000,5490.801274
nan,nan,0.010000,3400.000000,864.000000,5801.472159
nan,nan,0.010000,3400.000000,1325.000000,5560.906098
nan,nan,0.010000,3400.000000,1787.000000,5566.808305
nan,nan,0.010000,3400.000000,2248.000000,5495.355504
nan,nan,0.010000,3400.000000,2709.000000,5485.743611
nan,nan,0.080000,3130.000000,864.000000,5812.688177
nan,nan,0.080000,3130.000000,1325.000000,5566.219502
nan,nan,0.080000,3130.000000,1787.000000,5570.469881
nan,nan,0.080000,3130.000000,2248.000000,5498.176155
nan,nan,0.080000,3130.000000,2709.000000,5488.133354
nan,nan,0.080000,3265.000000,864.000000,5690.283208
nan,nan,0.080000,3265.000000,1325.000000,5493.902621
nan,nan,0.080000,3265.000000,1787.000000,5515.221617
nan,nan,0.080000,3265.000000,2248.000000,5453.152517
nan,nan,0.080000,3265.000000,2709.000000,5448.681251
nan,nan,0.080000,3400.000000,864.000000,5556.884214
nan,nan,0.080000,3400.000000,1325.000000,5418.754578
nan,nan,0.080000,3400.000000,1787.000000,5458.964492
nan,nan,0.080000,3400.000000,2248.000000,5407.747740
nan,nan,0.080000,3400.000000,2709.000000,5409.109104
nan,nan,0.150000,3130.000000,864.000000,5790.375173
nan,nan,0.150000,3130.000000,1325.000000,5552.561359
nan,nan,0.150000,3130.000000,1787.000000,5559.888680
nan,nan,0.150000,3130.000000,2248.000000,5489.491849
nan,nan,0.150000,3130.000000,2709.000000,5480.496123
nan,nan,0.150000,3265.000000,864.000000,5560.480816
nan,nan,0.150000,3265.000000,1325.000000,5416.706981
nan,nan,0.150000,3265.000000,1787.000000,5456.168310
nan,nan,0.150000,3265.000000,2248.000000,5404.972586
nan,nan,0.150000,3265.000000,2709.000000,5406.455201
nan,nan,0.150000,3400.000000,864.000000,5309.187384
nan,nan,0.150000,3400.000000,1325.000000,5275.043791
nan,nan,0.150000,3400.000000,1787.000000,5350.250092
nan,nan,0.150000,3400.000000,2248.000000,5319.511969
nan,nan,0.150000,3400.000000,2709.000000,5332.010281
